DRAGON ver.5.4 - No. of variables: 1664				
No.	Rel.No.	Symbol	Definition	Class
1018	127	Mor31e	3D-MoRSE - signal 31 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1019	128	Mor32e	3D-MoRSE - signal 32 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1020	129	Mor01p	3D-MoRSE - signal 01 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1021	130	Mor02p	3D-MoRSE - signal 02 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1022	131	Mor03p	3D-MoRSE - signal 03 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1023	132	Mor04p	3D-MoRSE - signal 04 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1024	133	Mor05p	3D-MoRSE - signal 05 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1025	134	Mor06p	3D-MoRSE - signal 06 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1026	135	Mor07p	3D-MoRSE - signal 07 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1027	136	Mor08p	3D-MoRSE - signal 08 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1028	137	Mor09p	3D-MoRSE - signal 09 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1029	138	Mor10p	3D-MoRSE - signal 10 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1030	139	Mor11p	3D-MoRSE - signal 11 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1031	140	Mor12p	3D-MoRSE - signal 12 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1032	141	Mor13p	3D-MoRSE - signal 13 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1033	142	Mor14p	3D-MoRSE - signal 14 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1034	143	Mor15p	3D-MoRSE - signal 15 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1035	144	Mor16p	3D-MoRSE - signal 16 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1036	145	Mor17p	3D-MoRSE - signal 17 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1037	146	Mor18p	3D-MoRSE - signal 18 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1038	147	Mor19p	3D-MoRSE - signal 19 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1039	148	Mor20p	3D-MoRSE - signal 20 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1040	149	Mor21p	3D-MoRSE - signal 21 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1041	150	Mor22p	3D-MoRSE - signal 22 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1042	151	Mor23p	3D-MoRSE - signal 23 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1043	152	Mor24p	3D-MoRSE - signal 24 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1044	153	Mor25p	3D-MoRSE - signal 25 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1045	154	Mor26p	3D-MoRSE - signal 26 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1046	155	Mor27p	3D-MoRSE - signal 27 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1047	156	Mor28p	3D-MoRSE - signal 28 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1048	157	Mor29p	3D-MoRSE - signal 29 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1049	158	Mor30p	3D-MoRSE - signal 30 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1050	159	Mor31p	3D-MoRSE - signal 31 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1051	160	Mor32p	3D-MoRSE - signal 32 / weighted by atomic polarizabilities	3D-MoRSE descriptors
1052	1	L1u	1st component size directional WHIM index / unweighted	WHIM descriptors
1053	2	L2u	2nd component size directional WHIM index / unweighted	WHIM descriptors
1054	3	L3u	3rd component size directional WHIM index / unweighted	WHIM descriptors
1055	4	P1u	1st component shape directional WHIM index / unweighted	WHIM descriptors
1056	5	P2u	2nd component shape directional WHIM index / unweighted	WHIM descriptors
1057	6	G1u	1st component symmetry directional WHIM index / unweighted	WHIM descriptors
1058	7	G2u	2st component symmetry directional WHIM index / unweighted	WHIM descriptors
1059	8	G3u	3st component symmetry directional WHIM index / unweighted	WHIM descriptors
1060	9	E1u	1st component accessibility directional WHIM index / unweighted	WHIM descriptors
1061	10	E2u	2nd component accessibility directional WHIM index / unweighted	WHIM descriptors
1062	11	E3u	3rd component accessibility directional WHIM index / unweighted	WHIM descriptors
1063	12	L1m	1st component size directional WHIM index / weighted by atomic masses	WHIM descriptors
1064	13	L2m	2nd component size directional WHIM index / weighted by atomic masses	WHIM descriptors
1065	14	L3m	3rd component size directional WHIM index / weighted by atomic masses	WHIM descriptors
1066	15	P1m	1st component shape directional WHIM index / weighted by atomic masses	WHIM descriptors
1067	16	P2m	2nd component shape directional WHIM index / weighted by atomic masses	WHIM descriptors
1068	17	G1m	1st component symmetry directional WHIM index / weighted by atomic masses	WHIM descriptors
1069	18	G2m	2st component symmetry directional WHIM index / weighted by atomic masses	WHIM descriptors
1070	19	G3m	3st component symmetry directional WHIM index / weighted by atomic masses	WHIM descriptors
1071	20	E1m	1st component accessibility directional WHIM index / weighted by atomic masses	WHIM descriptors
1072	21	E2m	2nd component accessibility directional WHIM index / weighted by atomic masses	WHIM descriptors
1073	22	E3m	3rd component accessibility directional WHIM index / weighted by atomic masses	WHIM descriptors
1074	23	L1v	1st component size directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1075	24	L2v	2nd component size directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1076	25	L3v	3rd component size directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1077	26	P1v	1st component shape directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1078	27	P2v	2nd component shape directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1079	28	G1v	1st component symmetry directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1080	29	G2v	2st component symmetry directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1081	30	G3v	3st component symmetry directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1082	31	E1v	1st component accessibility directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1083	32	E2v	2nd component accessibility directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1084	33	E3v	3rd component accessibility directional WHIM index / weighted by atomic van der Waals volumes	WHIM descriptors
1085	34	L1e	1st component size directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1086	35	L2e	2nd component size directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1087	36	L3e	3rd component size directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1088	37	P1e	1st component shape directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1089	38	P2e	2nd component shape directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1090	39	G1e	1st component symmetry directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1091	40	G2e	2st component symmetry directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1092	41	G3e	3st component symmetry directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1093	42	E1e	1st component accessibility directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1094	43	E2e	2nd component accessibility directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1095	44	E3e	3rd component accessibility directional WHIM index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1096	45	L1p	1st component size directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1097	46	L2p	2nd component size directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1098	47	L3p	3rd component size directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1099	48	P1p	1st component shape directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1100	49	P2p	2nd component shape directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1101	50	G1p	1st component symmetry directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1102	51	G2p	2st component symmetry directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1103	52	G3p	3st component symmetry directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1104	53	E1p	1st component accessibility directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1105	54	E2p	2nd component accessibility directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1106	55	E3p	3rd component accessibility directional WHIM index / weighted by atomic polarizabilities	WHIM descriptors
1107	56	L1s	1st component size directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1108	57	L2s	2nd component size directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1109	58	L3s	3rd component size directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1110	59	P1s	1st component shape directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1111	60	P2s	2nd component shape directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1112	61	G1s	1st component symmetry directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1113	62	G2s	2st component symmetry directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1114	63	G3s	3st component symmetry directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1115	64	E1s	1st component accessibility directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1116	65	E2s	2nd component accessibility directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1117	66	E3s	3rd component accessibility directional WHIM index / weighted by atomic electrotopological states	WHIM descriptors
1118	67	Tu	T total size index / unweighted	WHIM descriptors
1119	68	Tm	T total size index / weighted by atomic masses	WHIM descriptors
1120	69	Tv	T total size index / weighted by atomic van der Waals volumes	WHIM descriptors
1121	70	Te	T total size index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1122	71	Tp	T total size index / weighted by atomic polarizabilities	WHIM descriptors
1123	72	Ts	T total size index / weighted by atomic electrotopological states	WHIM descriptors
1124	73	Au	A total size index / unweighted	WHIM descriptors
1125	74	Am	A total size index / weighted by atomic masses	WHIM descriptors
1126	75	Av	A total size index / weighted by atomic van der Waals volumes	WHIM descriptors
1127	76	Ae	A total size index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1128	77	Ap	A total size index / weighted by atomic polarizabilities	WHIM descriptors
1129	78	As	A total size index / weighted by atomic electrotopological states	WHIM descriptors
1130	79	Gu	G total symmetry index / unweighted	WHIM descriptors
1131	80	Gm	G total symmetry index / weighted by atomic masses	WHIM descriptors
1132	81	Gs	G total symmetry index / weighted by atomic electrotopological states	WHIM descriptors
1133	82	Ku	K global shape index / unweighted	WHIM descriptors
1134	83	Km	K global shape index / weighted by atomic masses	WHIM descriptors
1135	84	Kv	K global shape index / weighted by atomic van der Waals volumes	WHIM descriptors
1136	85	Ke	K global shape index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1137	86	Kp	K global shape index / weighted by atomic polarizabilities	WHIM descriptors
1138	87	Ks	K global shape index / weighted by atomic electrotopological states	WHIM descriptors
1139	88	Du	D total accessibility index / unweighted	WHIM descriptors
1140	89	Dm	D total accessibility index / weighted by atomic masses	WHIM descriptors
1141	90	Dv	D total accessibility index / weighted by atomic van der Waals volumes	WHIM descriptors
1142	91	De	D total accessibility index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1143	92	Dp	D total accessibility index / weighted by atomic polarizabilities	WHIM descriptors
1144	93	Ds	D total accessibility index / weighted by atomic electrotopological states	WHIM descriptors
1145	94	Vu	V total size index / unweighted	WHIM descriptors
1146	95	Vm	V total size index / weighted by atomic masses	WHIM descriptors
1147	96	Vv	V total size index / weighted by atomic van der Waals volumes	WHIM descriptors
1148	97	Ve	V total size index / weighted by atomic Sanderson electronegativities	WHIM descriptors
1149	98	Vp	V total size index / weighted by atomic polarizabilities	WHIM descriptors
1150	99	Vs	V total size index / weighted by atomic electrotopological states	WHIM descriptors
1151	1	ITH	total information content on the leverage equality	GETAWAY descriptors
1152	2	ISH	standardized information content on the leverage equality	GETAWAY descriptors
1153	3	HIC	mean information content on the leverage magnitude	GETAWAY descriptors
1154	4	HGM	geometric mean on the leverage magnitude	GETAWAY descriptors
1155	5	H0u	H autocorrelation of lag 0 / unweighted	GETAWAY descriptors
1156	6	H1u	H autocorrelation of lag 1 / unweighted	GETAWAY descriptors
1157	7	H2u	H autocorrelation of lag 2 / unweighted	GETAWAY descriptors
1158	8	H3u	H autocorrelation of lag 3 / unweighted	GETAWAY descriptors
1159	9	H4u	H autocorrelation of lag 4 / unweighted	GETAWAY descriptors
1160	10	H5u	H autocorrelation of lag 5 / unweighted	GETAWAY descriptors
1161	11	H6u	H autocorrelation of lag 6 / unweighted	GETAWAY descriptors
1162	12	H7u	H autocorrelation of lag 7 / unweighted	GETAWAY descriptors
1163	13	H8u	H autocorrelation of lag 8 / unweighted	GETAWAY descriptors
1164	14	HTu	H total index / unweighted	GETAWAY descriptors
1165	15	HATS0u	leverage-weighted autocorrelation of lag 0 / unweighted	GETAWAY descriptors
1166	16	HATS1u	leverage-weighted autocorrelation of lag 1 / unweighted	GETAWAY descriptors
1167	17	HATS2u	leverage-weighted autocorrelation of lag 2 / unweighted	GETAWAY descriptors
1168	18	HATS3u	leverage-weighted autocorrelation of lag 3 / unweighted	GETAWAY descriptors
1169	19	HATS4u	leverage-weighted autocorrelation of lag 4 / unweighted	GETAWAY descriptors
1170	20	HATS5u	leverage-weighted autocorrelation of lag 5 / unweighted	GETAWAY descriptors
1171	21	HATS6u	leverage-weighted autocorrelation of lag 6 / unweighted	GETAWAY descriptors
1172	22	HATS7u	leverage-weighted autocorrelation of lag 7 / unweighted	GETAWAY descriptors
1173	23	HATS8u	leverage-weighted autocorrelation of lag 8 / unweighted	GETAWAY descriptors
1174	24	HATSu	leverage-weighted total index / unweighted	GETAWAY descriptors
1175	25	H0m	H autocorrelation of lag 0 / weighted by atomic masses	GETAWAY descriptors
1176	26	H1m	H autocorrelation of lag 1 / weighted by atomic masses	GETAWAY descriptors
1177	27	H2m	H autocorrelation of lag 2 / weighted by atomic masses	GETAWAY descriptors
1178	28	H3m	H autocorrelation of lag 3 / weighted by atomic masses	GETAWAY descriptors
1179	29	H4m	H autocorrelation of lag 4 / weighted by atomic masses	GETAWAY descriptors
1180	30	H5m	H autocorrelation of lag 5 / weighted by atomic masses	GETAWAY descriptors
1181	31	H6m	H autocorrelation of lag 6 / weighted by atomic masses	GETAWAY descriptors
1182	32	H7m	H autocorrelation of lag 7 / weighted by atomic masses	GETAWAY descriptors
1183	33	H8m	H autocorrelation of lag 8 / weighted by atomic masses	GETAWAY descriptors
1184	34	HTm	H total index / weighted by atomic masses	GETAWAY descriptors
1185	35	HATS0m	leverage-weighted autocorrelation of lag 0 / weighted by atomic masses	GETAWAY descriptors
1186	36	HATS1m	leverage-weighted autocorrelation of lag 1 / weighted by atomic masses	GETAWAY descriptors
1187	37	HATS2m	leverage-weighted autocorrelation of lag 2 / weighted by atomic masses	GETAWAY descriptors
1188	38	HATS3m	leverage-weighted autocorrelation of lag 3 / weighted by atomic masses	GETAWAY descriptors
1189	39	HATS4m	leverage-weighted autocorrelation of lag 4 / weighted by atomic masses	GETAWAY descriptors
1190	40	HATS5m	leverage-weighted autocorrelation of lag 5 / weighted by atomic masses	GETAWAY descriptors
1191	41	HATS6m	leverage-weighted autocorrelation of lag 6 / weighted by atomic masses	GETAWAY descriptors
1192	42	HATS7m	leverage-weighted autocorrelation of lag 7 / weighted by atomic masses	GETAWAY descriptors
1193	43	HATS8m	leverage-weighted autocorrelation of lag 8 / weighted by atomic masses	GETAWAY descriptors
1194	44	HATSm	leverage-weighted total index / weighted by atomic masses	GETAWAY descriptors
1195	45	H0v	H autocorrelation of lag 0 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1196	46	H1v	H autocorrelation of lag 1 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1197	47	H2v	H autocorrelation of lag 2 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1198	48	H3v	H autocorrelation of lag 3 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1199	49	H4v	H autocorrelation of lag 4 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1200	50	H5v	H autocorrelation of lag 5 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1201	51	H6v	H autocorrelation of lag 6 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1202	52	H7v	H autocorrelation of lag 7 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1203	53	H8v	H autocorrelation of lag 8 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1204	54	HTv	H total index / weighted by atomic van der Waals volumes	GETAWAY descriptors
1205	55	HATS0v	leverage-weighted autocorrelation of lag 0 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1206	56	HATS1v	leverage-weighted autocorrelation of lag 1 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1207	57	HATS2v	leverage-weighted autocorrelation of lag 2 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1208	58	HATS3v	leverage-weighted autocorrelation of lag 3 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1209	59	HATS4v	leverage-weighted autocorrelation of lag 4 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1210	60	HATS5v	leverage-weighted autocorrelation of lag 5 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1211	61	HATS6v	leverage-weighted autocorrelation of lag 6 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1212	62	HATS7v	leverage-weighted autocorrelation of lag 7 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1213	63	HATS8v	leverage-weighted autocorrelation of lag 8 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1214	64	HATSv	leverage-weighted total index / weighted by atomic van der Waals volumes	GETAWAY descriptors
1215	65	H0e	H autocorrelation of lag 0 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1216	66	H1e	H autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1217	67	H2e	H autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1218	68	H3e	H autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1219	69	H4e	H autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1220	70	H5e	H autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1221	71	H6e	H autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1222	72	H7e	H autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1223	73	H8e	H autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1224	74	HTe	H total index / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1225	75	HATS0e	leverage-weighted autocorrelation of lag 0 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1226	76	HATS1e	leverage-weighted autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1227	77	HATS2e	leverage-weighted autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1228	78	HATS3e	leverage-weighted autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1229	79	HATS4e	leverage-weighted autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1230	80	HATS5e	leverage-weighted autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1231	81	HATS6e	leverage-weighted autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1232	82	HATS7e	leverage-weighted autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1233	83	HATS8e	leverage-weighted autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1234	84	HATSe	leverage-weighted total index / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1235	85	H0p	H autocorrelation of lag 0 / weighted by atomic polarizabilities	GETAWAY descriptors
1236	86	H1p	H autocorrelation of lag 1 / weighted by atomic polarizabilities	GETAWAY descriptors
1237	87	H2p	H autocorrelation of lag 2 / weighted by atomic polarizabilities	GETAWAY descriptors
1238	88	H3p	H autocorrelation of lag 3 / weighted by atomic polarizabilities	GETAWAY descriptors
1239	89	H4p	H autocorrelation of lag 4 / weighted by atomic polarizabilities	GETAWAY descriptors
1240	90	H5p	H autocorrelation of lag 5 / weighted by atomic polarizabilities	GETAWAY descriptors
1241	91	H6p	H autocorrelation of lag 6 / weighted by atomic polarizabilities	GETAWAY descriptors
1242	92	H7p	H autocorrelation of lag 7 / weighted by atomic polarizabilities	GETAWAY descriptors
1243	93	H8p	H autocorrelation of lag 8 / weighted by atomic polarizabilities	GETAWAY descriptors
1244	94	HTp	H total index / weighted by atomic polarizabilities	GETAWAY descriptors
1245	95	HATS0p	leverage-weighted autocorrelation of lag 0 / weighted by atomic polarizabilities	GETAWAY descriptors
1246	96	HATS1p	leverage-weighted autocorrelation of lag 1 / weighted by atomic polarizabilities	GETAWAY descriptors
1247	97	HATS2p	leverage-weighted autocorrelation of lag 2 / weighted by atomic polarizabilities	GETAWAY descriptors
1248	98	HATS3p	leverage-weighted autocorrelation of lag 3 / weighted by atomic polarizabilities	GETAWAY descriptors
1249	99	HATS4p	leverage-weighted autocorrelation of lag 4 / weighted by atomic polarizabilities	GETAWAY descriptors
1250	100	HATS5p	leverage-weighted autocorrelation of lag 5 / weighted by atomic polarizabilities	GETAWAY descriptors
1251	101	HATS6p	leverage-weighted autocorrelation of lag 6 / weighted by atomic polarizabilities	GETAWAY descriptors
1252	102	HATS7p	leverage-weighted autocorrelation of lag 7 / weighted by atomic polarizabilities	GETAWAY descriptors
1253	103	HATS8p	leverage-weighted autocorrelation of lag 8 / weighted by atomic polarizabilities	GETAWAY descriptors
1254	104	HATSp	leverage-weighted total index / weighted by atomic polarizabilities	GETAWAY descriptors
1255	105	RCON	Randic-type R matrix connectivity	GETAWAY descriptors
1256	106	RARS	R matrix average row sum	GETAWAY descriptors
1257	107	REIG	first eigenvalue of the R matrix	GETAWAY descriptors
1258	108	R1u	R autocorrelation of lag 1 / unweighted	GETAWAY descriptors
1259	109	R2u	R autocorrelation of lag 2 / unweighted	GETAWAY descriptors
1260	110	R3u	R autocorrelation of lag 3 / unweighted	GETAWAY descriptors
1261	111	R4u	R autocorrelation of lag 4 / unweighted	GETAWAY descriptors
1262	112	R5u	R autocorrelation of lag 5 / unweighted	GETAWAY descriptors
1263	113	R6u	R autocorrelation of lag 6 / unweighted	GETAWAY descriptors
1264	114	R7u	R autocorrelation of lag 7 / unweighted	GETAWAY descriptors
1265	115	R8u	R autocorrelation of lag 8 / unweighted	GETAWAY descriptors
1266	116	RTu	R total index / unweighted	GETAWAY descriptors
1267	117	R1u+	R maximal autocorrelation of lag 1 / unweighted	GETAWAY descriptors
1268	118	R2u+	R maximal autocorrelation of lag 2 / unweighted	GETAWAY descriptors
1269	119	R3u+	R maximal autocorrelation of lag 3 / unweighted	GETAWAY descriptors
1270	120	R4u+	R maximal autocorrelation of lag 4 / unweighted	GETAWAY descriptors
1271	121	R5u+	R maximal autocorrelation of lag 5 / unweighted	GETAWAY descriptors
1272	122	R6u+	R maximal autocorrelation of lag 6 / unweighted	GETAWAY descriptors
1273	123	R7u+	R maximal autocorrelation of lag 7 / unweighted	GETAWAY descriptors
1274	124	R8u+	R maximal autocorrelation of lag 8 / unweighted	GETAWAY descriptors
1275	125	RTu+	R maximal index / unweighted	GETAWAY descriptors
1276	126	R1m	R autocorrelation of lag 1 / weighted by atomic masses	GETAWAY descriptors
1277	127	R2m	R autocorrelation of lag 2 / weighted by atomic masses	GETAWAY descriptors
1278	128	R3m	R autocorrelation of lag 3 / weighted by atomic masses	GETAWAY descriptors
1279	129	R4m	R autocorrelation of lag 4 / weighted by atomic masses	GETAWAY descriptors
1280	130	R5m	R autocorrelation of lag 5 / weighted by atomic masses	GETAWAY descriptors
1281	131	R6m	R autocorrelation of lag 6 / weighted by atomic masses	GETAWAY descriptors
1282	132	R7m	R autocorrelation of lag 7 / weighted by atomic masses	GETAWAY descriptors
1283	133	R8m	R autocorrelation of lag 8 / weighted by atomic masses	GETAWAY descriptors
1284	134	RTm	R total index / weighted by atomic masses	GETAWAY descriptors
1285	135	R1m+	R maximal autocorrelation of lag 1 / weighted by atomic masses	GETAWAY descriptors
1286	136	R2m+	R maximal autocorrelation of lag 2 / weighted by atomic masses	GETAWAY descriptors
1287	137	R3m+	R maximal autocorrelation of lag 3 / weighted by atomic masses	GETAWAY descriptors
1288	138	R4m+	R maximal autocorrelation of lag 4 / weighted by atomic masses	GETAWAY descriptors
1289	139	R5m+	R maximal autocorrelation of lag 5 / weighted by atomic masses	GETAWAY descriptors
1290	140	R6m+	R maximal autocorrelation of lag 6 / weighted by atomic masses	GETAWAY descriptors
1291	141	R7m+	R maximal autocorrelation of lag 7 / weighted by atomic masses	GETAWAY descriptors
1292	142	R8m+	R maximal autocorrelation of lag 8 / weighted by atomic masses	GETAWAY descriptors
1293	143	RTm+	R maximal index / weighted by atomic masses	GETAWAY descriptors
1294	144	R1v	R autocorrelation of lag 1 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1295	145	R2v	R autocorrelation of lag 2 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1296	146	R3v	R autocorrelation of lag 3 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1297	147	R4v	R autocorrelation of lag 4 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1298	148	R5v	R autocorrelation of lag 5 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1299	149	R6v	R autocorrelation of lag 6 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1300	150	R7v	R autocorrelation of lag 7 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1301	151	R8v	R autocorrelation of lag 8 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1302	152	RTv	R total index / weighted by atomic van der Waals volumes	GETAWAY descriptors
1303	153	R1v+	R maximal autocorrelation of lag 1 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1304	154	R2v+	R maximal autocorrelation of lag 2 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1305	155	R3v+	R maximal autocorrelation of lag 3 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1306	156	R4v+	R maximal autocorrelation of lag 4 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1307	157	R5v+	R maximal autocorrelation of lag 5 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1308	158	R6v+	R maximal autocorrelation of lag 6 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1309	159	R7v+	R maximal autocorrelation of lag 7 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1310	160	R8v+	R maximal autocorrelation of lag 8 / weighted by atomic van der Waals volumes	GETAWAY descriptors
1311	161	RTv+	R maximal index / weighted by atomic van der Waals volumes	GETAWAY descriptors
1312	162	R1e	R autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1313	163	R2e	R autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1314	164	R3e	R autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1315	165	R4e	R autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1316	166	R5e	R autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1317	167	R6e	R autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
